|  Clínicas  |  Geriátricos  |  CATEGORÍA| Subcategoria| subtitulo| DATO A INSPECCIONAR| Tipo de dato
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| FECHA VENCIMIENTO BOMBEROS| FECHA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| FECHA VENCIMIENTO EXTINGUIDORES| FECHA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Diagnóstico por imagen habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Densitometría ósea habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| TAC habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Radiología simple habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Ecografía habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Mamografía habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| PET habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| RMN habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | RADIOFÍSICA| Radiología contrastada habilitados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | SECTOR DE INTERNACIÓN CUMPLE Y AREA DE RESIDUOS| Condiciones Edilicias| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | SECTOR DE INTERNACIÓN CUMPLE Y AREA DE RESIDUOS| Área de Residuos| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | LABORATORIO| Habilitación por Cobico| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | LABORATORIO| Interno/Externo| BUTTON GROUP
|  TRUE  |  FALSE  |  TIPOLOGÍA| | LABORATORIO| Propio/Tercerizado| BUTTON GROUP
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 2| Cantidad de Recursos Humano| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 2| Reglamento Interno| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 2| Libro de Registro de Residentes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 3| Destino exclusivo| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 3| Sala de enfermeria| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 4| Historia Clinica| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 4| Completa y actualizada| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 5| Libro de registros familiares| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULO 5| Formulario para familiares al ingreso / Copia Reglamento Interno| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Condiciones de Habitabilidad| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Detectores de humotemperatura y fugas de gas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Luz de emergencia| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Extintores| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Disyuntores y llaves térmicas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Llaves principal de gas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 7 y 14| Rol de incendio y plan de evacuación aprobado| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Habitaciones| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Baños| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Comedor| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Sala de estar - usos multiples| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Deposito de despensa, limpieza| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | ARTÍCULOS 8 y 9| Conexiones Cubiertas y cerradas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Fachada visible| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Habilitación visible| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Articulo 13: Circunvalacion General| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Materiales de facil combustion o inflamables| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Puertas de salida en regla| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Pisos Facil limpieza y antideslizante| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Pasamanos acorde| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Iluminacion acorde| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 10: Identificacion| Carteles indicadores salida de emergencia| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 11: Ubicacion Inmueble| Ubicacion acorde a las prestaciones| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 12: Acceso Peatonal| Nivel de vereda| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Materiales de facil combustion o inflamables| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Puertas de salida en regla| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Pisos Facil limpieza y antideslizante| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Pasamanos acorde| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Iluminacion acorde| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 13: Circunvalacion General| Carteles indicadores salida de emergencia| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Constancia mensual mantenimiento| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Capacidad min. para silla y acompañante| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Localizacion visual y sonora del coche| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Ancho minimo acceso| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Puerta idenitificada| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Señal orientación piso| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Materiales revestimiento| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 15: Circulaciones Mecanizadas Ascensor| Iluminacion adecuada| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 24:| Cumple iluminación y ventilación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 25: Terminaciones| Pisos antideslizantes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 25: Terminaciones| Pisos comunes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 25: Terminaciones| Pisos de madera| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 25: Terminaciones| Muros terminación lisa| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 25: Terminaciones| Cielorrasos superficie continua| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 26: Mobiliario| Sillones| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 26: Mobiliario| Sillas acorde a cantidad residentes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 26: Mobiliario| Mesas acordes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 26: Mobiliario| Elementos decoración - tv Audio| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Iluminacion natural| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Ilumin. artificial central| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Ilumin. art. individual| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Ventilación Natural| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Llamador por cama| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Climatizacion| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Higiene| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Privacidad| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Baño privado - Cantidad Habitaciones 1 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Baño privado - Cantidad Habitaciones 2 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Baño privado - Cantidad Habitaciones 3 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Baño privado - Otras| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Sin Baño privado - Cantidad Habitaciones 1 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Sin Baño privado - Cantidad Habitaciones 2 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Sin Baño privado - Cantidad Habitaciones 3 cama| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Sin Baño privado - Otras| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Total habitaciones| NÚMERO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 27 /28 / 40: Habitaciones / camas / sillas| Sup. 4.5m2 por cama:| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Placard/guardarropas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Cama con elástico de madera| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Altura mínima 0,40m| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Mesa de luz individual| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Colchón altura mínima 14 cm| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| Muebles por habitación| Articulo 27 /28 / 40: Habitaciones / camas / sillas | Forrado| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Ventilacion| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Iluminación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Inodoro altura mínima 0,45m| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Lavatorio| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Artefactos c/agarraderas empotradas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| pisos antideslizantes| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Accecibilidad artefactos| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Timbre| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Puertas hacia fuera| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Ducha| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Ducha manual| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Bidet altura mínima 0,45m| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Espejo| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Provisión agua caliente/fria| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Griferia mezcladora| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Higiene| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 30: Baños| Luz de emergencia| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | VArticulo 29: Enfermería/consultorios| Acorde a Reglamentación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 32: Baños para personas con discapacidad motora| Acorde a Reglamentación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 36: Dependencias complementarias cocina| Despensa y verduleria| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 37: Lavadero| Propio| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 37: Lavadero| Concesionado| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 37: Lavadero| con tendero| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 37: Lavadero| Higiene| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 38: Dependencias lavadero| | SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 38: Dependencias lavadero| Dep. ropa limpia| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 38: Dependencias lavadero| Dep. gral.| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 44: Instalación de agua| | SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 44: Instalación de agua| Agua caliente (caldera, termotanque, calefón)| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Trabajo| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Reposo| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Comidas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Visitas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Laborterapias y recreativas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 53: Reglamento horario| Diagrama frecuencia cambio ropas, cama, baño y comedor| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Iluminación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Despensa| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Lavatorio| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Mesada| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Higiene| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Provisión agua caliente/fria| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 33: Cocina| Provisión víveres secos y semiperecederos| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 39: Residuos Patogenos| Acorde a Reglamentación| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 43: Acondicionamiento ambiental| Calefacción| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 43: Acondicionamiento ambiental| Circulación de aire| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 46: Instalación gas| Habilitado| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 54: planificación de actividades| Esparcimiento| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 54: planificación de actividades| Comidas| SI/NO
|  FALSE  |  TRUE  |  TIPOLOGÍA| | Articulo 54: planificación de actividades| Laborterapia| SI/NO
|  TRUE  |  FALSE  |  GUARDIA| ARQUITECTURA| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  GUARDIA| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  GUARDIA| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  GUARDIA| RECURSOS HUMANOS| | MEDICOS| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| RECURSOS HUMANOS| | ENFERMERAS| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| EQUIPAMIENTO| | Cardiodesfibrilador| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| EQUIPAMIENTO| | Electrocardiógrafo| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| EQUIPAMIENTO| | Oxímetro de pulso/monitor multiparamétrico| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| EQUIPAMIENTO| | Equipo para nebulizaciones| NÚMERO
|  TRUE  |  FALSE  |  GUARDIA| EQUIPAMIENTO| | Carro de paro completo| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| ARQUITECTURA| | N° DE CAMAS| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| JEFE DE SERVICIO| | Jefes de servicio| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| RECURSOS HUMANOS| | Médicos de guardia| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| RECURSOS HUMANOS| | Médicos asistenciales| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| RECURSOS HUMANOS| | Enfermeros| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| EQUIPAMIENTO| | Carro de urgencia| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| EQUIPAMIENTO| | Electrocardiógrafo| NÚMERO
|  TRUE  |  FALSE  |  UNIDAD CORONARIO DE CUIDADOS INTENSIVOS| EQUIPAMIENTO| | Equipo para intubación| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| SERVICIOS| | N° DE CAMAS| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| SERVICIOS| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  QUIROFANO| SERVICIOS| | Planos| SI/NO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Electrobisturí| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Máquina de anestesia| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Caja de traqueotomía| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Monitor multiparamétrico| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Cama quirúrgica regulable| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | System de aspiración automática| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Laringoscopio y tubos endotraqueales| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Mesa de Cirugía| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Cardiodesfibrilador| NÚMERO
|  TRUE  |  FALSE  |  QUIROFANO| EQUIPAMIENTO| | Lámpara ciálitica| NÚMERO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Planos| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| EQUIPAMIENTO| | Cama de parto| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| EQUIPAMIENTO| | Mesa de instrumental obstétrico| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| EQUIPAMIENTO| | Mesa para anestesista| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Mesa auxiliar| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Lámpara portátil de altura regulable| SI/NO
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Balanza para recién nacido| SI/NO
